Station,Net,Comp.,NTCSoil,NTCTopo,PGA (cm/s^2),PGV (cm/s),PGD (cm),SA03s (cm/s^2),SA1s (cm/s^2),SA3s (cm/s^2),AI(cm/s),HI (cm),RE (km),RY (km),Status,Quality class,Check,Longitude,Latitude
BRMO,IV,HNZ,A**,T2*,1.53596,0.015011,0.0007274,0.515152,0.054536,0.007494,0.00075877,0.0272682,32.6,33,Open,A,NO,10.37218,46.47616
BRMO,IV,HNN,A**,T2*,1.50537,0.0171023,0.00070284,0.373026,0.048486,0.005149,0.00074446,0.0239414,32.6,33,Open,A,NO,10.37218,46.47616
BRMO,IV,HNE,A**,T2*,1.21388,0.0318182,0.00227453,0.942579,0.119508,0.011706,0.00061593,0.0523898,32.6,33,Open,A,NO,10.37218,46.47616
CARE,ST,HNZ,A**,T2*,4.02847,0.0172971,0.00060873,0.5418,0.064945,0.021963,0.0155723,0.0297141,35.7,36,Open,A,NO,10.6945,46.4252
CARE,ST,HNN,A**,T2*,5.17465,0.0401043,0.00056927,0.548524,0.045476,0.010661,0.0141279,0.0207492,35.7,36,Open,A,NO,10.6945,46.4252
CARE,ST,HNE,A**,T2*,4.7824,0.0346897,0.00074562,0.760099,0.078465,0.025599,0.0208242,0.0392233,35.7,36,Open,A,NO,10.6945,46.4252
OZOL,ST,HNZ,A*,T4**,0.204732,0.0079717,0.00040931,0.258379,0.022983,0.002452,0.00005069,0.0122768,51.9,52.1,Open,A,NO,11.0518,46.404
OZOL,ST,HNN,A*,T4**,0.367977,0.0120257,0.00070044,0.562401,0.058105,0.003923,0.00016756,0.0260307,51.9,52.1,Open,A,NO,11.0518,46.404
OZOL,ST,HNE,A*,T4**,0.484322,0.0150718,0.00086817,0.795124,0.068691,0.004895,0.00025548,0.0301752,51.9,52.1,Open,A,NO,11.0518,46.404
GAGG,ST,HNZ,A*,T4**,0.0795198,0.00261053,0.00016569,0.101367,0.021931,0.001329,0.00000831,0.00585097,78.2,78.4,Open,A,NO,10.9587,46.0835
GAGG,ST,HNN,A*,T4**,0.128192,0.00352943,0.00032197,0.109511,0.046036,0.002375,0.00002264,0.0107144,78.2,78.4,Open,A,NO,10.9587,46.0835
GAGG,ST,HNE,A*,T4**,0.190091,0.00484783,0.00029488,0.158551,0.028615,0.001793,0.00002826,0.0103575,78.2,78.4,Open,A,NO,10.9587,46.0835
RONC,ST,HNZ,A**,T4**,0.163265,0.00297292,0.0002915,0.179493,0.011044,0.003302,0.00004218,0.00592142,84,84.2,Open,A,NO,10.6228,45.9802
RONC,ST,HNN,A**,T4**,0.350249,0.00959539,0.00052669,0.637212,0.032152,0.00394,0.00017543,0.0179038,84,84.2,Open,A,NO,10.6228,45.9802
RONC,ST,HNE,A**,T4**,0.406858,0.0100341,0.0003132,0.39841,0.029471,0.005253,0.00020003,0.0133877,84,84.2,Open,A,NO,10.6228,45.9802
ZIAN,ST,HNZ,A**,T2*,0.125863,0.00236622,0.00014231,0.121619,0.012836,0.001048,0.00002368,0.00464826,91.3,91.4,Open,A,NO,11.5632,46.2764
ZIAN,ST,HNN,A**,T2*,0.135028,0.00285425,0.00015004,0.129186,0.01691,0.00117,0.0000311,0.00538883,91.3,91.4,Open,A,NO,11.5632,46.2764
ZIAN,ST,HNE,A**,T2*,0.131255,0.00374605,0.00015229,0.226527,0.014697,0.001248,0.00003667,0.00564859,91.3,91.4,Open,A,NO,11.5632,46.2764
PANI,ST,HNZ,A**,T3*,0.0802163,0.0014058,0.00041414,0.088623,0.007054,0.002996,0.00000981,0.00375404,95.9,96.1,Open,A,NO,11.3341,46.0501
PANI,ST,HNN,A**,T3*,0.102502,0.00283121,0.0002197,0.218469,0.012631,0.001264,0.00001844,0.00667815,95.9,96.1,Open,A,NO,11.3341,46.0501
PANI,ST,HNE,A**,T3*,0.0944475,0.00307518,0.00020264,0.24131,0.015337,0.001433,0.000014,0.00615809,95.9,96.1,Open,A,NO,11.3341,46.0501
TUE,MN,HNZ,A*,T1*,0.0929744,0.0019679,0.00008789,0.066102,0.006548,0.000959,0.0000095,0.0033376,98.1,98.2,Open,A,NO,9.34732,46.47223
TUE,MN,HNN,A*,T1*,0.110878,0.0020755,0.00010406,0.107824,0.007582,0.00123,0.00001258,0.00386331,98.1,98.2,Open,A,NO,9.34732,46.47223
TUE,MN,HNE,A*,T1*,0.108643,0.00243661,0.00014591,0.124862,0.008039,0.000925,0.00001328,0.00417516,98.1,98.2,Open,A,NO,9.34732,46.47223
BAG8,IV,HNZ,A*,T2*,0.29062,0.00691156,0.00014782,0.146166,0.013477,0.001927,0.00009939,0.00635182,101.8,101.9,Open,A,NO,10.4664,45.8228
BAG8,IV,HNN,A*,T2*,0.398731,0.00720833,0.00019851,0.210355,0.020808,0.002995,0.00021394,0.00945205,101.8,101.9,Open,A,NO,10.4664,45.8228
BAG8,IV,HNE,A*,T2*,0.327522,0.00815673,0.00023076,0.279846,0.018674,0.00415,0.00018854,0.0106468,101.8,101.9,Open,A,NO,10.4664,45.8228
PDN3,ZO,HNZ,B*,T1*,0.163402,0.00307558,0.00041888,0.151393,0.013067,0.004559,0.00007047,0.00571741,103.4,103.5,Open,D,NO,10.73769,45.81286
PDN3,ZO,HNN,B*,T1*,0.213475,0.0063903,0.00056407,0.507851,0.018184,0.005923,0.0001282,0.00931671,103.4,103.5,Open,D,NO,10.73769,45.81286
PDN3,ZO,HNE,B*,T1*,0.222788,0.00612932,0.00035794,0.333413,0.014294,0.003754,0.00010111,0.00883881,103.4,103.5,Open,D,NO,10.73769,45.81286
VARA,ST,HNZ,A*,T4**,0.0722551,0.00647436,0.00234573,0.099708,0.027609,0.023023,0.00002381,0.0136732,104.1,104.2,Open,B,NO,10.8965,?45.826
VARA,ST,HNN,A*,T4**,0.142944,0.00326599,0.00019263,0.237148,0.011997,0.001156,0.00004087,0.0060184,104.1,104.2,Open,A,NO,10.8965,?45.826
VARA,ST,HNE,A*,T4**,0.181053,0.00492199,0.00026246,0.416026,0.028353,0.002442,0.00007262,0.00974516,104.1,104.2,Open,A,NO,10.8965,?45.826
DOSS,ST,HNZ,A**,T3*,0.0585155,0.00182837,0.00009661,0.074778,0.009498,0.000933,0.00000551,0.00331715,106.1,106.2,Open,A,NO,11.1884,45.8808
DOSS,ST,HNE,A**,T3*,0.104924,0.00333025,0.00027791,0.158882,0.022252,0.001762,0.00002389,0.00752582,106.1,106.2,Open,A,NO,11.1884,45.8808
DOSS,ST,HNN,A**,T3*,0.119841,0.00350361,0.00031191,0.235955,0.015154,0.002213,0.00002079,0.00800574,106.1,106.2,Open,A,NO,11.1884,45.8808
MBAL,IV,HNZ,A**,T2*,0.0515457,0.001051,0.00011813,0.072619,0.011548,0.001016,0.0000063,0.00291448,117.4,117.5,Open,C,NO,10.858943,45.697536
MBAL,IV,HNN,A**,T2*,0.177529,0.00310548,0.0001706,0.103484,0.011733,0.001718,0.00008757,0.00450733,117.4,117.5,Open,A,NO,10.858943,45.697536
MBAL,IV,HNE,A**,T2*,0.23995,0.00395627,0.00015577,0.138572,0.00884,0.001602,0.0001073,0.00466191,117.4,117.5,Open,A,NO,10.858943,45.697536
BALD,OX,HNZ,A*,T3*,0.010067,0.0003419,0.00003347,0.017833,0.002494,0.000206,0.00000036,0.00086083,118.5,118.6,Open,D,NO,10.8187,?45.683
BALD,OX,HNN,A*,T3*,0.0196426,0.00056406,0.00004835,0.037901,0.003925,0.000327,0.00000118,0.00152378,118.5,118.6,Open,C,NO,10.8187,?45.683
BALD,OX,HNE,A*,T3*,0.0214955,0.00101681,0.00010274,0.056615,0.006101,0.000681,0.00000151,0.00237711,118.5,118.6,Open,C,NO,10.8187,?45.683
VOBA,IV,HNZ,C*,T1*,0.123888,0.00271779,0.00030345,0.071477,0.008956,0.004321,0.00025389,0.00482814,121.5,121.6,Open,D,NO,10.504,45.6429
VOBA,IV,HNN,C*,T1*,0.162377,0.0038466,0.00016013,0.189231,0.01206,0.001195,0.00006365,0.00626606,121.5,121.6,Open,B,NO,10.504,45.6429
VOBA,IV,HNE,C*,T1*,0.166857,0.0054581,0.00250772,0.119954,0.039749,0.028767,0.00007424,0.0217624,121.5,121.6,Open,B,NO,10.504,45.6429
SAL,IV,HNZ,C*,T1*,0.123606,0.00247331,0.00045562,0.111273,0.026639,0.003643,0.00034353,0.00731595,125.4,125.5,Open,D,NO,10.525968,45.607609
SAL,IV,HNN,C*,T1*,0.0662323,0.0028404,0.00030037,0.107307,0.030962,0.002636,0.0000625,0.00813024,125.4,125.5,Open,D,NO,10.525968,45.607609
SAL,IV,HNE,C*,T1*,0.0756817,0.0030183,0.00025883,0.159974,0.02322,0.001961,0.00005086,0.0083333,125.4,125.5,Open,D,NO,10.525968,45.607609
MDI,IV,HNZ,A*,T3*,0.0423629,0.00114053,0.00011951,0.085473,0.012849,0.000832,0.00000347,0.00349804,125.9,126,Open,C,NO,9.716,45.76972
MDI,IV,HNN,A*,T3*,0.0563771,0.00197409,0.00025787,0.135237,0.020684,0.001691,0.00000818,0.0071013,125.9,126,Open,C,NO,9.716,45.76972
MDI,IV,HNE,A*,T3*,0.0741255,0.00232163,0.00019841,0.15809,0.012792,0.001615,0.0000094,0.00579951,125.9,126,Open,C,NO,9.716,45.76972
ROVR,IV,HNZ,A*,T2**,0.269087,0.00211,0.0003655,0.102847,0.012701,0.004973,0.00073347,0.00575585,126.9,127,Open,B,NO,11.0721,45.6468
ROVR,IV,HNN,A*,T2**,0.197521,0.00415086,0.00029166,0.327884,0.014946,0.003504,0.00036149,0.00742915,126.9,127,Open,B,NO,11.0721,45.6468
ROVR,IV,HNE,A*,T2**,0.271877,0.00282034,0.00027664,0.090544,0.009011,0.004179,0.00069633,0.00584024,126.9,127,Open,B,NO,11.0721,45.6468
FELT,IV,HNZ,A*,T2*,0.15723,0.0037599,0.00042331,0.3513,0.011916,0.003755,0.00026945,0.00769448,127.3,127.4,Open,D,NO,11.9275,46.0729
FELT,IV,HNN,A*,T2*,0.173699,0.00662563,0.00030547,0.596822,0.021265,0.002244,0.00005101,0.0114952,127.3,127.4,Open,D,NO,11.9275,46.0729
FELT,IV,HNE,A*,T2*,0.158465,0.00568364,0.00025101,0.453591,0.020496,0.001646,0.0000509,0.00949029,127.3,127.4,Open,D,NO,11.9275,46.0729
CNCS,IV,HNZ,B**,T1,0.0989403,0.00229253,0.00011317,0.116304,0.00858,0.000909,0.00003601,0.0035223,128.5,128.6,Open,D,NO,10.217,45.606
CNCS,IV,HNN,B**,T1,0.110306,0.00393915,0.00245779,0.276223,0.012225,0.006308,0.00004441,0.00766357,128.5,128.6,Open,C,NO,10.217,45.606
CNCS,IV,HNE,B**,T1,0.10745,0.0039967,0.00097623,0.405492,0.013571,0.00199,0.00003196,0.00735346,128.5,128.6,Open,C,NO,10.217,45.606
CAPR,IV,HNZ,B**,T1,0.0488127,0.00097079,0.00021399,0.041162,0.01031,0.002153,0.00001255,0.0030474,131.6,131.7,Open,C,NO,9.9345,45.6372
CAPR,IV,HNN,B**,T1,0.0484109,0.00127832,0.00014356,0.082443,0.017195,0.000916,0.00001421,0.00427408,131.6,131.7,Open,C,NO,9.9345,45.6372
CAPR,IV,HNE,B**,T1,0.0129149,0.00036334,0.00004905,0.021389,0.003762,0.000853,0.00000113,0.00125805,131.6,131.7,Open,D,NO,9.9345,45.6372
SGAL,IV,HNZ,A*,T2,0.015442,0.00044177,0.0000498,0.029387,0.002641,0.000438,0.00000089,0.00113076,131.8,131.9,Open,D,NO,10.31064,45.563555
SGAL,IV,HNN,A*,T2,0.0392282,0.00062928,0.00005276,0.02412,0.00532,0.000471,0.00000236,0.00151879,131.8,131.9,Open,D,NO,10.31064,45.563555
