Station,PGA (cm/s^2),PGV (cm/s),PGD (cm),SA03s (cm/s^2),SA1s (cm/s^2),SA3s (cm/s^2),AI(cm/s),HI (cm),RE (km),RY (km),Longitude,Latitude
VLC,0.352918,0.00518298,0.00049543,0.257139,0.05027,0.003188,0.00005317,0.0139754,23.4,26.9,10.3864,44.1594
VLC,0.619339,0.0177792,0.00096449,1.11551,0.079618,0.00581,0.000099,0.0303463,23.4,26.9,10.3864,44.1594
VLC,0.612446,0.0139252,0.00077019,0.497879,0.038621,0.004057,0.00009626,0.0190846,23.4,26.9,10.3864,44.1594
ZCCA,0.351893,0.00727443,0.00069085,0.290413,0.045249,0.004937,0.00004426,0.0177979,34.2,36.7,10.9765,44.35085
ZCCA,0.350181,0.00653153,0.00046994,0.39597,0.045554,0.00757,0.00005671,0.018781,34.2,36.7,10.9765,44.35085
ZCCA,0.518417,0.00707567,0.00045887,0.446553,0.034729,0.002981,0.0000691,0.0169191,34.2,36.7,10.9765,44.35085
CRMI,0.0991389,0.00188447,0.00010872,0.090074,0.006601,0.000779,0.00001229,0.00351684,44.4,46.3,10.97950556,43.79559722
CRMI,0.160813,0.00280489,0.00015071,0.123225,0.007305,0.000955,0.00002027,0.0038034,44.4,46.3,10.97950556,43.79559722
CRMI,0.14356,0.00290617,0.00011161,0.091657,0.011294,0.000713,0.00001648,0.00441173,44.4,46.3,10.97950556,43.79559722
FIVI,0.166204,0.00373625,0.00022605,0.181018,0.015079,0.001183,0.00005363,0.00607461,45.5,47.4,10.1271,44.2394
FIVI,0.234379,0.00485903,0.00045919,0.232901,0.032278,0.002364,0.00003299,0.0117682,45.5,47.4,10.1271,44.2394
FIVI,0.148847,0.00560307,0.00027177,0.422922,0.015996,0.001671,0.000022,0.00815828,45.5,47.4,10.1271,44.2394
NEVI,0.00892049,0.00038311,0.00007076,0.018889,0.007094,0.00064,0.00000065,0.00183731,57.9,59.3,10.3163,44.5834
NEVI,0.011215,0.00055363,0.00009331,0.036557,0.011268,0.000805,0.00000061,0.00261224,57.9,59.3,10.3163,44.5834
